Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2026-04-08 07:45:00,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,2026-04-08 07:46:00,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2026-04-08 07:47:00,2.75,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,2026-04-08 08:10:00,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,2026-04-08 08:11:00,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2026-04-08 08:20:00,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2026-04-08 08:21:00,2.10,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2026-04-08 08:22:00,2.10,13047,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,12,2026-04-08 08:35:00,4.25,13047,United Kingdom
536368,22913,RED COAT RACK PARIS FASHION,3,2026-04-08 08:36:00,4.95,13047,United Kingdom
536369,21756,BATH BUILDING BLOCK WORD,3,2026-04-08 09:00:00,5.95,12583,France
536370,22728,ALARM CLOCK BAKELIKE PINK,24,2026-04-08 09:10:00,3.75,12583,France
536370,22727,ALARM CLOCK BAKELIKE RED,24,2026-04-08 09:11:00,3.75,12583,France
536371,22726,ALARM CLOCK BAKELIKE GREEN,12,2026-04-08 09:15:00,3.75,12583,France
536372,21724,PANDA AND BUNNIES STICKER SHEET,12,2026-04-08 09:25:00,0.85,13748,Germany
536373,21883,STARS GIFT TAPE,24,2026-04-08 09:30:00,0.65,13748,Germany
536374,10002,INFLATABLE POLITICAL GLOBE,48,2026-04-08 09:45:00,0.85,13748,Germany
536375,22086,PAPER CHAIN KIT 50'S CHRISTMAS,80,2026-04-08 10:00:00,2.95,14688,United Kingdom
536376,22087,PAPER BUNTING WHITE LACE,60,2026-04-08 10:05:00,3.29,14688,United Kingdom
536377,22114,HOT WATER BOTTLE TEA AND SYMPATHY,24,2026-04-08 10:20:00,4.25,14688,United Kingdom
536378,84029E,RED WOOLLY HOTTIE WHITE HEART,36,2026-04-08 10:35:00,3.39,14688,United Kingdom
536379,22492,MINI PAINT SET VINTAGE,36,2026-04-08 11:00:00,0.65,15311,Spain
536380,POST,POSTAGE,1,2026-04-08 11:10:00,18.00,15311,Spain
536381,22139,RETROSPOT TEA SET CERAMIC 11 PC,12,2026-04-08 11:30:00,4.95,15311,Spain
536382,22629,SPACEBOY LUNCH BOX,24,2026-04-08 12:00:00,1.95,17511,United Kingdom
536383,22630,DOLLY GIRL LUNCH BOX,24,2026-04-08 12:05:00,1.95,17511,United Kingdom
536384,22631,CIRCUS PARADE LUNCH BOX,24,2026-04-08 12:10:00,1.95,17511,United Kingdom
C536385,22632,HAND WARMER RED POLKA DOT,-6,2026-04-08 12:20:00,1.85,17850,United Kingdom
536386,22633,HAND WARMER UNION JACK,0,2026-04-08 12:25:00,1.85,17850,United Kingdom
536387,22634,CHILDS BREAKFAST SET CIRCUS PARADE,2,2026-04-08 12:30:00,0.00,17850,United Kingdom
536388,22635,CHILDS BREAKFAST SET SPACEBOY,2,2026-04-08 12:35:00,9.95,,United Kingdom
536389,22636,CHILDS BREAKFAST SET DOLLY GIRL,2,2026-04-08 12:40:00,9.95,17850,
536390,,MISSING STOCKCODE SAMPLE,2,2026-04-08 12:45:00,9.95,17850,United Kingdom
536391,22637,,2,2026-04-08 12:50:00,9.95,17850,United Kingdom
536392,22638,OLD DATE SAMPLE,2,2026-04-07 12:55:00,9.95,17850,United Kingdom
